,X,Y,Z,pol
0,540151.875,6423306.900391,1750.0,0.0
1,540151.875,6423306.900391,1950.0,0.0
2,999.0,999.0,999.0,0.0
3,540118.359375,6423385.062012,1750.0,0.0
4,540118.359375,6423385.062012,1950.0,0.0
5,999.0,999.0,999.0,0.0
6,540084.84375,6423463.223633,1750.0,0.0
7,540084.84375,6423463.223633,1950.0,0.0
8,999.0,999.0,999.0,0.0
9,540051.328125,6423541.385254,1750.0,0.0
10,540051.328125,6423541.385254,1950.0,0.0
11,999.0,999.0,999.0,0.0
12,540017.8125,6423619.546875,1750.0,0.0
13,540017.8125,6423619.546875,1950.0,0.0
14,999.0,999.0,999.0,0.0
15,539984.725342,6423707.572266,1750.0,0.0
16,539984.725342,6423707.572266,1950.0,0.0
17,999.0,999.0,999.0,0.0
18,539951.637939,6423795.597656,1750.0,0.0
19,539951.637939,6423795.597656,1950.0,0.0
20,999.0,999.0,999.0,0.0
21,539918.550781,6423883.623047,1750.0,0.0
22,539918.550781,6423883.623047,1950.0,0.0
23,999.0,999.0,999.0,0.0
24,539943.034302,6423968.185242,1750.0,0.0
25,539943.034302,6423968.185242,1950.0,0.0
26,999.0,999.0,999.0,0.0
27,539967.517822,6424052.747437,1750.0,0.0
28,539967.517822,6424052.747437,1950.0,0.0
29,999.0,999.0,999.0,0.0
30,539992.001221,6424137.30957,1750.0,0.0
31,539992.001221,6424137.30957,1950.0,0.0
32,999.0,999.0,999.0,0.0
33,540016.484741,6424221.871765,1750.0,0.0
34,540016.484741,6424221.871765,1950.0,0.0
35,999.0,999.0,999.0,0.0
36,540040.96814,6424306.433899,1750.0,0.0
37,540040.96814,6424306.433899,1950.0,0.0
38,999.0,999.0,999.0,0.0
39,540065.45166,6424390.996094,1750.0,0.0
40,540065.45166,6424390.996094,1950.0,0.0
41,999.0,999.0,999.0,0.0
42,540054.141907,6424484.514648,1750.0,0.0
43,540054.141907,6424484.514648,1950.0,0.0
44,999.0,999.0,999.0,0.0
45,540042.832275,6424578.033218,1750.0,0.0
46,540042.832275,6424578.033218,1950.0,0.0
47,999.0,999.0,999.0,0.0
48,540031.522461,6424671.551758,1750.0,0.0
49,540031.522461,6424671.551758,1950.0,0.0
50,999.0,999.0,999.0,0.0
51,540020.212769,6424765.070313,1750.0,0.0
52,540020.212769,6424765.070313,1950.0,0.0
53,999.0,999.0,999.0,0.0
54,540008.902954,6424858.588867,1750.0,0.0
55,540008.902954,6424858.588867,1950.0,0.0
56,999.0,999.0,999.0,0.0
57,539997.593262,6424952.107422,1750.0,0.0
58,539997.593262,6424952.107422,1950.0,0.0
59,999.0,999.0,999.0,0.0
60,539993.177246,6425035.941895,1750.0,0.0
61,539993.177246,6425035.941895,1950.0,0.0
62,999.0,999.0,999.0,0.0
63,539988.76123,6425119.776367,1750.0,0.0
64,539988.76123,6425119.776367,1950.0,0.0
65,999.0,999.0,999.0,0.0
66,539984.345215,6425203.61084,1750.0,0.0
67,539984.345215,6425203.61084,1950.0,0.0
68,999.0,999.0,999.0,0.0
69,539979.929199,6425287.445313,1750.0,0.0
70,539979.929199,6425287.445313,1950.0,0.0
71,999.0,999.0,999.0,0.0
72,540004.818115,6425382.563782,1750.0,0.0
73,540004.818115,6425382.563782,1950.0,0.0
74,999.0,999.0,999.0,0.0
75,540029.707031,6425477.682251,1750.0,0.0
76,540029.707031,6425477.682251,1950.0,0.0
77,999.0,999.0,999.0,0.0
78,540054.595886,6425572.800781,1750.0,0.0
79,540054.595886,6425572.800781,1950.0,0.0
80,999.0,999.0,999.0,0.0
81,540079.484741,6425667.919312,1750.0,0.0
82,540079.484741,6425667.919312,1950.0,0.0
83,999.0,999.0,999.0,0.0
84,540104.373657,6425763.03772,1750.0,0.0
85,540104.373657,6425763.03772,1950.0,0.0
86,999.0,999.0,999.0,0.0
87,540129.262573,6425858.15625,1750.0,0.0
88,540129.262573,6425858.15625,1950.0,0.0
