X Y Z
543936.882813 6424872.197266 1750.0
543936.882813 6424872.197266 1950.0
999.0 999.0 999.0
543927.618164 6424788.392181 1750.0
543927.618164 6424788.392181 1950.0
999.0 999.0 999.0
543918.353271 6424704.587112 1750.0
543918.353271 6424704.587112 1950.0
999.0 999.0 999.0
543909.088379 6424620.782021 1750.0
543909.088379 6424620.782021 1950.0
999.0 999.0 999.0
543899.823486 6424536.976948 1750.0
543899.823486 6424536.976948 1950.0
999.0 999.0 999.0
543890.558594 6424453.171875 1750.0
543890.558594 6424453.171875 1950.0
999.0 999.0 999.0
543841.63501 6424372.744965 1750.0
543841.63501 6424372.744965 1950.0
999.0 999.0 999.0
543792.711426 6424292.318054 1750.0
543792.711426 6424292.318054 1950.0
999.0 999.0 999.0
543743.787842 6424211.891174 1750.0
543743.787842 6424211.891174 1950.0
999.0 999.0 999.0
543694.864258 6424131.464264 1750.0
543694.864258 6424131.464264 1950.0
999.0 999.0 999.0
543645.940918 6424051.037415 1750.0
543645.940918 6424051.037415 1950.0
999.0 999.0 999.0
543597.017334 6423970.610474 1750.0
543597.017334 6423970.610474 1950.0
999.0 999.0 999.0
543548.09375 6423890.183594 1750.0
543548.09375 6423890.183594 1950.0
999.0 999.0 999.0
543490.908203 6423817.717407 1750.0
543490.908203 6423817.717407 1950.0
999.0 999.0 999.0
543433.722656 6423745.251343 1750.0
543433.722656 6423745.251343 1950.0
999.0 999.0 999.0
543376.537109 6423672.785156 1750.0
543376.537109 6423672.785156 1950.0
999.0 999.0 999.0
543319.351563 6423600.31897 1750.0
543319.351563 6423600.31897 1950.0
999.0 999.0 999.0
543262.166016 6423527.852905 1750.0
543262.166016 6423527.852905 1950.0
999.0 999.0 999.0
543204.980469 6423455.386719 1750.0
543204.980469 6423455.386719 1950.0
999.0 999.0 999.0
543140.043457 6423397.064209 1750.0
543140.043457 6423397.064209 1950.0
999.0 999.0 999.0
543075.106689 6423338.741577 1750.0
543075.106689 6423338.741577 1950.0
999.0 999.0 999.0
543010.169922 6423280.418945 1750.0
543010.169922 6423280.418945 1950.0
999.0 999.0 999.0
542945.233154 6423222.096313 1750.0
542945.233154 6423222.096313 1950.0
999.0 999.0 999.0
542880.296265 6423163.773804 1750.0
542880.296265 6423163.773804 1950.0
999.0 999.0 999.0
542815.359375 6423105.451172 1750.0
542815.359375 6423105.451172 1950.0
999.0 999.0 999.0
542741.500977 6423071.677246 1750.0
542741.500977 6423071.677246 1950.0
999.0 999.0 999.0
542667.642578 6423037.90332 1750.0
542667.642578 6423037.90332 1950.0
999.0 999.0 999.0
542593.78418 6423004.129395 1750.0
542593.78418 6423004.129395 1950.0
999.0 999.0 999.0
542519.925781 6422970.355469 1750.0
542519.925781 6422970.355469 1950.0
999.0 999.0 999.0
